Date          Time       OutputV        FluxMagnet       Temperature
23-3-2022     12:7:24      4804.50       256090.52         34.50
23-3-2022     12:7:25      3807.43       202916.91         34.50
23-3-2022     12:7:26      3651.03       194575.95         34.50
23-3-2022     12:7:27      5000.00       266516.69         34.50
23-3-2022     12:7:28      3621.70       193012.02         34.50
23-3-2022     12:7:29      4794.72       255569.19         34.50
23-3-2022     12:7:30      3885.63       207087.39         34.50
23-3-2022     12:7:31      3646.14       194315.30         34.50
23-3-2022     12:7:32      5000.00       266516.69         34.50
23-3-2022     12:7:34      3621.70       193012.02         34.50
23-3-2022     12:7:35      4682.31       249574.16         34.50
23-3-2022     12:7:36      4139.79       220641.45         34.50
23-3-2022     12:7:37      3631.48       193533.33         34.50
23-3-2022     12:7:38      5000.00       266516.69         34.50
23-3-2022     12:7:39      3631.48       193533.33         34.75
23-3-2022     12:7:40      4398.83       234456.16         34.50
23-3-2022     12:7:41      4486.80       239147.95         34.75
23-3-2022     12:7:42      3626.59       193272.67         34.50
23-3-2022     12:7:43      5000.00       266516.69         34.50
23-3-2022     12:7:44      3631.48       193533.33         34.50
23-3-2022     12:7:45      4369.50       232892.22         34.50
23-3-2022     12:7:46      4462.37       237844.67         34.50
23-3-2022     12:7:23      4017.60       214125.06         34.50
23-3-2022     12:7:24      5000.00       266516.69         34.50
23-3-2022     12:7:25      3558.16       189623.52         34.50
23-3-2022     12:7:26      3670.58       195618.56         34.50
23-3-2022     12:7:27      5000.00       266516.69         34.50
23-3-2022     12:7:28      3626.59       193272.67         34.75
23-3-2022     12:7:29      4276.64       227939.77         34.50
23-3-2022     12:7:30      4887.59       260521.64         34.50
23-3-2022     12:7:31      3611.93       192490.72         34.50
23-3-2022     12:7:32      5000.00       266516.69         34.50
23-3-2022     12:7:34      3553.27       189362.84         34.50
23-3-2022     12:7:35      3665.69       195357.92         34.50
23-3-2022     12:7:36      5000.00       266516.69         34.50
23-3-2022     12:7:37      3621.70       193012.02         34.50
23-3-2022     12:7:38      4012.71       213864.42         34.50
23-3-2022     12:7:39      4995.11       266256.03         34.50
23-3-2022     12:7:40      3607.04       192230.05         34.50
23-3-2022     12:7:41      5000.00       266516.69         34.50
23-3-2022     12:7:42      3763.44       200571.02         34.50
23-3-2022     12:7:43      3631.48       193533.33         34.50
23-3-2022     12:7:44      5000.00       266516.69         34.50
23-3-2022     12:7:45      3563.05       189884.16         34.50
23-3-2022     12:7:46      3846.53       205002.14         34.50
23-3-2022     12:7:47      5000.00       266516.69         34.50
23-3-2022     12:7:48      3597.26       191708.75         34.50
23-3-2022     12:7:49      4819.16       256872.47         34.50
23-3-2022     12:7:50      4506.35       240190.58         34.50
23-3-2022     12:7:51      3607.04       192230.05         34.75
23-3-2022     12:7:52      5000.00       266516.69         34.50
23-3-2022     12:7:53      3543.50       188841.53         34.50
23-3-2022     12:7:54      3665.69       195357.92         34.50
23-3-2022     12:7:56      5000.00       266516.69         34.50
23-3-2022     12:7:57      3621.70       193012.02         34.50
23-3-2022     12:7:58      4090.91       218034.89         34.50
23-3-2022     12:7:59      4990.22       265995.38         34.50
23-3-2022     12:8:0      3607.04       192230.05         34.50
23-3-2022     12:8:1      5000.00       266516.69         34.50
23-3-2022     12:8:2      5000.00       266516.69         34.50
23-3-2022     12:8:4      3597.26       191708.75         34.50
23-3-2022     12:8:5      3567.94       190144.81         34.50
23-3-2022     12:8:6      3607.04       192230.05         34.50
23-3-2022     12:8:7      4960.90       264431.47         34.50
23-3-2022     12:8:8      4780.06       254787.23         34.50
23-3-2022     12:8:43      3963.83       211257.86         34.50
23-3-2022     12:8:44      4428.15       236020.08         34.50
23-3-2022     12:8:45      3548.39       189102.20         34.50
23-3-2022     12:8:46      4222.87       225072.58         34.50
23-3-2022     12:8:47      3553.27       189362.84         34.50
23-3-2022     12:8:48      4149.56       221162.75         34.50
23-3-2022     12:8:49      3548.39       189102.20         34.50
23-3-2022     12:8:50      4227.76       225333.25         34.50
23-3-2022     12:8:51      3543.50       188841.53         34.50
23-3-2022     12:8:52      4521.02       240972.53         34.50
23-3-2022     12:8:54      3543.50       188841.53         34.50
23-3-2022     12:8:55      4926.69       262606.88         34.50
23-3-2022     12:8:56      3577.71       190666.13         34.50
23-3-2022     12:8:57      5000.00       266516.69         34.50
23-3-2022     12:8:58      3626.59       193272.67         34.50
23-3-2022     12:8:59      5000.00       266516.69         34.50
23-3-2022     12:9:0      3616.81       192751.36         34.50
23-3-2022     12:9:1      5000.00       266516.69         34.50
23-3-2022     12:9:2      3543.50       188841.53         34.50
23-3-2022     12:9:3      4281.52       228200.44         34.50
23-3-2022     12:9:4      3753.67       200049.70         34.25
23-3-2022     12:9:5      3704.79       197443.16         34.50
23-3-2022     12:9:6      4990.22       265995.38         34.50
23-3-2022     12:9:7      3626.59       193272.67         34.50
23-3-2022     12:9:8      5000.00       266516.69         34.50
23-3-2022     12:9:9      3636.36       193793.98         34.50
23-3-2022     12:9:10      5000.00       266516.69         34.25
23-3-2022     12:9:11      3719.45       198225.13         34.50
23-3-2022     12:9:12      5000.00       266516.69         34.50
23-3-2022     12:9:13      3611.93       192490.72         34.50
23-3-2022     12:9:15      5000.00       266516.69         34.50
23-3-2022     12:9:16      3607.04       192230.05         34.25
23-3-2022     12:9:17      5000.00       266516.69         34.50
23-3-2022     12:9:18      3607.04       192230.05         34.50
23-3-2022     12:9:19      5000.00       266516.69         34.25
23-3-2022     12:9:20      3616.81       192751.36         34.50
23-3-2022     12:9:21      5000.00       266516.69         34.50
23-3-2022     12:9:22      3680.35       196139.88         34.50
23-3-2022     12:9:23      4178.89       222726.69         34.50
23-3-2022     12:9:24      4012.71       213864.42         34.50
23-3-2022     12:9:25      3543.50       188841.53         34.50
23-3-2022     12:9:26      4794.72       255569.19         34.50
23-3-2022     12:9:27      3572.82       190405.47         34.50
23-3-2022     12:9:28      5000.00       266516.69         34.50
23-3-2022     12:9:29      3626.59       193272.67         34.25
23-3-2022     12:9:30      5000.00       266516.69         34.25
23-3-2022     12:9:31      3611.93       192490.72         34.50
23-3-2022     12:9:32      5000.00       266516.69         34.25
23-3-2022     12:9:33      3607.04       192230.05         34.50
23-3-2022     12:9:35      5000.00       266516.69         34.50
23-3-2022     12:9:36      3607.04       192230.05         34.50
23-3-2022     12:9:37      5000.00       266516.69         34.50
23-3-2022     12:9:38      3607.04       192230.05         34.50
23-3-2022     12:9:39      5000.00       266516.69         34.50
23-3-2022     12:9:40      3611.93       192490.72         34.50
23-3-2022     12:9:41      5000.00       266516.69         34.50
23-3-2022     12:9:42      3626.59       193272.67         34.50
23-3-2022     12:9:43      4970.67       264952.75         34.50
23-3-2022     12:9:44      3695.01       196921.84         34.50
23-3-2022     12:9:45      4115.35       219338.17         34.50
23-3-2022     12:9:46      4017.60       214125.06         34.25
23-3-2022     12:9:47      3548.39       189102.20         34.25
23-3-2022     12:9:48      4872.92       259739.69         34.25
23-3-2022     12:9:49      3602.15       191969.41         34.50
23-3-2022     12:9:50      5000.00       266516.69         34.25
23-3-2022     12:9:51      3611.93       192490.72         34.50
23-3-2022     12:9:52      5000.00       266516.69         34.25
23-3-2022     12:9:53      3616.81       192751.36         34.25
23-3-2022     12:9:54      4995.11       266256.03         34.50
23-3-2022     12:9:56      3719.45       198225.13         34.50
23-3-2022     12:9:57      3714.56       197964.45         34.25
23-3-2022     12:9:58      4398.83       234456.16         34.50
23-3-2022     12:9:59      3563.05       189884.16         34.50
23-3-2022     12:10:0      5000.00       266516.69         34.25
23-3-2022     12:10:1      3597.26       191708.75         34.25
23-3-2022     12:10:2      5000.00       266516.69         34.50
23-3-2022     12:10:3      3607.04       192230.05         34.50
23-3-2022     12:10:4      5000.00       266516.69         34.25
23-3-2022     12:10:5      3636.36       193793.98         34.50
23-3-2022     12:10:6      4780.06       254787.23         34.50
23-3-2022     12:10:7      3880.74       206826.73         34.25
23-3-2022     12:10:8      3548.39       189102.20         34.50
23-3-2022     12:10:9      5000.00       266516.69         34.50
23-3-2022     12:10:10      3607.04       192230.05         34.50
23-3-2022     12:10:11      5000.00       266516.69         34.50
23-3-2022     12:10:12      3748.78       199789.05         34.25
23-3-2022     12:10:13      3543.50       188841.53         34.25
23-3-2022     12:10:14      5000.00       266516.69         34.25
23-3-2022     12:10:16      3636.36       193793.98         34.50
23-3-2022     12:10:17      3636.36       193793.98         34.50
23-3-2022     12:10:18      5000.00       266516.69         34.50
23-3-2022     12:12:6      3641.25       194054.64         34.50
23-3-2022     12:12:7      3651.03       194575.95         34.50
23-3-2022     12:12:8      5000.00       266516.69         34.50
23-3-2022     12:12:9      3626.59       193272.67         34.50
23-3-2022     12:12:10      5000.00       266516.69         34.50
23-3-2022     12:12:11      3631.48       193533.33         34.50
23-3-2022     12:12:12      4985.34       265734.75         34.50
23-3-2022     12:12:13      3680.35       196139.88         34.50
23-3-2022     12:12:14      4369.50       232892.22         34.50
23-3-2022     12:12:16      3910.07       208390.66         34.50
23-3-2022     12:12:17      3548.39       189102.20         34.50
23-3-2022     12:12:18      4638.32       247228.25         34.50
23-3-2022     12:12:19      3572.82       190405.47         34.50
23-3-2022     12:12:20      5000.00       266516.69         34.75
23-3-2022     12:12:21      3611.93       192490.72         34.50
23-3-2022     12:12:22      5000.00       266516.69         34.50
23-3-2022     12:12:23      3607.04       192230.05         34.50
23-3-2022     12:12:24      5000.00       266516.69         34.50
23-3-2022     12:12:25      3616.81       192751.36         34.50
23-3-2022     12:12:26      5000.00       266516.69         34.50
23-3-2022     12:12:27      3655.91       194836.61         34.50
23-3-2022     12:12:28      4819.16       256872.47         34.50
23-3-2022     12:12:29      3753.67       200049.70         34.50
23-3-2022     12:12:30      3626.59       193272.67         34.50
23-3-2022     12:12:31      5000.00       266516.69         34.50
23-3-2022     12:12:32      3655.91       194836.61         34.50
23-3-2022     12:12:34      4853.37       258697.08         34.50
23-3-2022     12:12:35      3704.79       197443.16         34.50
23-3-2022     12:12:36      4340.18       231328.28         34.50
23-3-2022     12:12:37      3817.20       203438.22         34.50
23-3-2022     12:12:47      4868.04       259479.03         34.50
23-3-2022     12:12:48      4516.13       240711.86         34.50
23-3-2022     12:12:49      3831.87       204220.17         34.50
23-3-2022     12:12:50      3597.26       191708.75         34.50
23-3-2022     12:12:51      4261.97       227157.81         34.50
23-3-2022     12:12:52      3548.39       189102.20         34.50
23-3-2022     12:12:53      4931.57       262867.53         34.50
23-3-2022     12:12:54      3597.26       191708.75         34.25
23-3-2022     12:12:55      5000.00       266516.69         34.50
23-3-2022     12:12:57      3616.81       192751.36         34.50
23-3-2022     12:12:58      5000.00       266516.69         34.50
23-3-2022     12:12:47      4931.57       262867.53         34.50
23-3-2022     12:12:48      4227.76       225333.25         34.50
23-3-2022     12:12:49      3939.39       209954.59         34.25
23-3-2022     12:12:50      3548.39       189102.20         34.25
23-3-2022     12:12:51      4525.90       241233.19         34.50
23-3-2022     12:12:52      3538.61       188580.88         34.50
23-3-2022     12:12:53      5000.00       266516.69         34.50
23-3-2022     12:12:54      3631.48       193533.33         34.50
23-3-2022     12:12:55      5000.00       266516.69         34.50
23-3-2022     12:12:57      3611.93       192490.72         34.50
23-3-2022     12:12:58      5000.00       266516.69         34.50
23-3-2022     12:12:59      3611.93       192490.72         34.50
23-3-2022     12:13:0      5000.00       266516.69         34.50
23-3-2022     12:13:1      3611.93       192490.72         34.50
23-3-2022     12:13:2      5000.00       266516.69         34.25
23-3-2022     12:13:3      3611.93       192490.72         34.50
23-3-2022     12:13:4      5000.00       266516.69         34.50
23-3-2022     12:13:5      3611.93       192490.72         34.50
23-3-2022     12:13:6      5000.00       266516.69         34.50
23-3-2022     12:13:7      3636.36       193793.98         34.50
23-3-2022     12:13:8      5000.00       266516.69         34.25
23-3-2022     12:13:9      3572.82       190405.47         34.50
23-3-2022     12:13:10      4804.50       256090.52         34.50
23-3-2022     12:13:35      3924.73       209172.63         34.50
23-3-2022     12:13:36      5000.00       266516.69         34.50
23-3-2022     12:13:37      3572.82       190405.47         34.50
23-3-2022     12:13:38      5000.00       266516.69         34.50
23-3-2022     12:13:35      4042.03       215428.34         34.50
23-3-2022     12:13:36      4037.15       215167.69         34.50
23-3-2022     12:13:37      3660.80       195097.25         34.50
23-3-2022     12:13:38      3870.97       206305.42         34.50
23-3-2022     12:13:39      4115.35       219338.17         34.25
23-3-2022     12:13:40      3753.67       200049.70         34.50
23-3-2022     12:13:41      4716.52       251398.72         34.50
23-3-2022     12:13:42      4804.50       256090.52         34.50
